PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
1,63,1,2,1,1,1,1,NaN
2,67,1,1,2,1,2,1,0.553928699882817
3,100,2,1,2,2,2,1,0.427733397013071
4,57,2,1,1,2,1,1,NaN
5,6,2,1,2,2,1,1,NaN
6,58,1,2,1,1,1,1,NaN
7,54,1,2,2,1,1,1,NaN
8,30,1,1,2,1,1,1,NaN
9,26,1,1,1,1,1,1,NaN
10,70,1,1,1,1,1,1,NaN
11,96,1,1,2,1,1,1,NaN
12,8,2,2,2,2,1,1,NaN
13,99,2,1,2,2,2,1,0.510829754924998
14,79,2,2,1,2,1,1,NaN
15,109,1,2,1,1,1,1,NaN
16,15,2,1,1,2,1,1,NaN
17,46,2,2,2,2,1,1,NaN
18,105,2,2,1,2,1,1,NaN
19,13,1,1,2,1,2,1,0.381424345943742
20,110,2,2,2,2,1,1,NaN
21,53,2,1,2,2,1,1,NaN
22,16,1,2,1,1,1,1,NaN
23,85,2,1,1,2,1,1,NaN
24,45,1,2,1,1,2,1,0.490318906438915
25,21,2,2,1,2,1,1,NaN
26,103,2,1,2,2,1,1,NaN
27,34,1,1,1,1,1,1,NaN
28,12,2,2,1,2,1,1,NaN
29,77,2,1,1,2,2,1,0.42574160357799
30,11,1,2,2,1,1,1,NaN
31,51,2,2,2,2,1,1,NaN
32,38,1,1,1,1,1,1,NaN
33,86,1,2,1,1,1,1,NaN
34,104,1,2,1,1,1,1,NaN
35,69,2,2,2,2,1,1,NaN
36,14,1,1,2,1,1,1,NaN
37,25,2,2,2,2,1,1,NaN
38,41,2,2,2,2,1,1,NaN
39,52,1,1,1,1,1,1,NaN
40,4,2,2,1,2,1,1,NaN
41,27,2,1,1,2,1,1,NaN
42,49,2,1,2,2,1,1,NaN
43,106,1,1,2,1,1,1,NaN
44,92,1,1,1,1,1,1,NaN
45,64,2,2,2,2,1,1,NaN
46,107,2,2,1,2,2,1,0.504825109355806
47,78,1,2,1,1,1,1,NaN
48,22,1,1,1,1,1,1,NaN
49,24,1,2,1,1,1,1,NaN
50,74,1,1,2,1,2,1,0.425949094254975
51,83,2,2,2,2,1,1,NaN
52,23,2,1,1,2,1,1,NaN
53,68,1,2,2,1,1,1,NaN
54,18,1,1,2,1,1,1,NaN
55,35,2,1,2,2,1,1,NaN
56,48,2,2,2,2,2,1,0.410633706962471
57,101,2,2,2,2,1,1,NaN
58,19,2,1,1,2,1,1,NaN
59,37,2,2,1,2,1,1,NaN
60,10,2,1,1,2,1,1,NaN
61,73,2,2,1,2,1,1,NaN
62,102,1,1,1,1,1,1,NaN
63,75,1,1,1,1,1,1,NaN
64,93,2,1,1,2,1,1,NaN
65,108,2,1,2,2,1,1,NaN
66,81,2,1,2,2,1,1,NaN
67,90,1,2,2,1,1,1,NaN
68,7,1,2,2,1,1,0,0.975418646827166
69,56,1,1,2,1,1,1,NaN
70,28,1,2,2,1,1,1,NaN
71,66,2,1,1,2,1,1,NaN
72,76,2,1,1,2,1,1,NaN
73,50,1,2,1,1,1,1,NaN
74,89,2,1,1,2,1,1,NaN
75,62,2,1,1,2,1,1,NaN
76,9,1,1,1,1,1,1,NaN
77,60,1,2,1,1,2,1,0.602581312785333
78,97,2,1,2,2,1,1,NaN
79,36,1,2,1,1,1,1,NaN
80,3,1,2,1,1,1,1,NaN
81,33,2,2,1,2,1,1,NaN
82,65,1,1,1,1,1,1,NaN
83,20,1,2,1,1,1,1,NaN
84,39,2,1,2,2,1,1,NaN
85,98,1,2,1,1,1,1,NaN
86,59,2,2,2,2,1,1,NaN
87,42,1,1,2,1,1,1,NaN
88,84,1,1,2,1,1,1,NaN
89,44,1,2,1,1,1,1,NaN
90,82,1,2,1,1,1,1,NaN
91,31,2,1,1,2,1,1,NaN
92,80,1,1,2,1,1,1,NaN
93,88,1,1,1,1,1,1,NaN
94,32,1,2,2,1,1,1,NaN
95,40,1,2,1,1,1,1,NaN
96,55,2,2,2,2,1,1,NaN
97,91,2,2,2,2,1,1,NaN
98,94,1,2,2,1,1,1,NaN
99,87,2,2,2,2,1,1,NaN
100,1,1,1,2,1,1,1,NaN
101,95,2,2,2,2,1,1,NaN
102,17,2,2,2,2,1,1,NaN
103,72,1,2,2,1,1,1,NaN
104,61,1,1,2,1,1,1,NaN
105,2,2,1,1,2,1,1,NaN
106,47,1,1,1,1,1,1,NaN
107,43,2,1,2,2,1,1,NaN
108,5,1,1,1,1,1,1,NaN
109,71,2,1,2,2,1,1,NaN
110,29,2,2,1,2,1,1,NaN
111,146,2,2,1,2,1,1,NaN
112,139,1,1,1,1,1,1,NaN
113,203,2,2,2,2,1,1,NaN
114,122,2,2,2,2,2,1,0.570081951502289
115,152,1,1,2,1,1,1,NaN
116,119,2,2,1,2,1,1,NaN
117,136,2,1,2,2,1,1,NaN
118,202,1,2,2,1,1,1,NaN
119,127,2,1,2,2,2,1,0.910593759886979
120,217,1,1,2,1,1,1,NaN
121,167,1,2,1,1,1,1,NaN
122,193,2,2,2,2,1,1,NaN
123,214,2,1,1,2,1,1,NaN
124,220,2,2,1,2,1,1,NaN
125,216,2,2,2,2,1,1,NaN
126,138,2,2,1,2,1,1,NaN
127,115,2,2,2,2,1,1,NaN
128,200,1,1,2,1,1,1,NaN
129,130,1,2,2,1,2,1,0.549925797939068
130,144,2,1,1,2,1,1,NaN
131,209,1,1,1,1,1,1,NaN
132,143,1,1,2,1,1,1,NaN
133,111,1,1,2,1,1,1,NaN
134,164,2,2,2,2,1,1,NaN
135,135,1,1,2,1,1,1,NaN
136,114,2,2,2,2,2,1,0.612889414493111
137,197,1,2,2,1,1,1,NaN
138,194,1,1,1,1,1,1,NaN
139,170,2,1,1,2,1,1,NaN
140,166,2,1,1,2,1,1,NaN
141,147,1,2,1,1,2,1,0.559764777564851
142,213,1,1,2,1,1,1,NaN
143,182,1,1,2,1,1,1,NaN
144,178,1,1,1,1,1,1,NaN
145,177,2,2,1,2,1,1,NaN
146,137,1,2,2,1,1,1,NaN
147,125,1,1,1,1,1,1,NaN
148,121,2,1,1,2,1,1,NaN
149,173,2,2,1,2,2,1,0.565986571344183
150,155,1,2,1,1,1,1,NaN
151,132,2,1,1,2,1,1,NaN
152,172,2,2,1,2,1,1,NaN
153,168,2,2,1,2,1,1,NaN
154,113,1,2,2,1,1,1,NaN
155,188,1,2,1,1,1,1,NaN
156,195,1,1,2,1,2,1,0.569852219228778
157,208,2,2,2,2,1,1,NaN
158,154,2,1,1,2,2,1,0.67713543463833
159,189,2,2,2,2,1,1,NaN
160,129,2,2,2,2,1,1,NaN
161,160,2,2,1,2,1,1,NaN
162,165,1,1,1,1,1,1,NaN
163,190,1,1,2,1,1,1,NaN
164,211,1,2,1,1,1,1,NaN
165,150,1,2,1,1,1,1,NaN
166,191,2,1,2,2,1,1,NaN
167,198,1,2,2,1,2,1,0.778531943466078
168,159,1,2,1,1,1,1,NaN
169,206,1,2,1,1,1,1,NaN
170,153,2,1,1,2,1,1,NaN
171,218,2,1,2,2,1,1,NaN
172,176,1,2,2,1,1,1,NaN
173,131,1,1,1,1,1,1,NaN
174,156,2,2,1,2,1,1,NaN
175,117,2,1,2,2,1,1,NaN
176,120,1,1,1,1,1,1,NaN
177,199,2,2,1,2,1,1,NaN
178,219,1,2,2,1,1,1,NaN
179,174,1,1,1,1,1,1,NaN
180,215,1,2,2,1,1,1,NaN
181,186,1,1,2,1,1,1,NaN
182,180,1,2,2,1,1,1,NaN
183,162,2,1,1,2,1,1,NaN
184,149,2,1,2,2,1,1,NaN
185,187,2,1,1,2,1,1,NaN
186,126,2,1,1,2,1,1,NaN
187,157,1,1,2,1,1,1,NaN
188,201,2,1,1,2,1,1,NaN
189,112,2,1,2,2,1,1,NaN
190,175,2,1,2,2,1,1,NaN
191,128,1,2,1,1,1,1,NaN
192,116,1,1,1,1,1,1,NaN
193,161,1,1,1,1,1,1,NaN
194,185,2,2,2,2,1,1,NaN
195,184,1,2,1,1,1,1,NaN
196,192,1,2,1,1,1,1,NaN
197,141,1,2,1,1,1,1,NaN
198,124,2,2,2,2,1,1,NaN
199,145,1,2,1,1,1,1,NaN
200,183,2,1,1,2,1,1,NaN
201,123,1,2,1,1,1,1,NaN
202,163,1,2,1,1,1,1,NaN
203,169,1,1,1,1,1,1,NaN
204,142,2,2,1,2,1,1,NaN
205,205,2,1,2,2,1,1,NaN
206,207,1,1,2,1,2,1,0.609369096649971
207,210,2,1,2,2,1,1,NaN
208,151,2,2,2,2,1,1,NaN
209,196,2,1,2,2,1,1,NaN
210,179,2,1,2,2,1,1,NaN
211,212,2,2,2,2,1,1,NaN
212,134,2,2,1,2,1,1,NaN
213,140,2,1,2,2,1,1,NaN
214,118,1,2,2,1,1,1,NaN
215,171,1,2,2,1,1,1,NaN
216,204,1,1,2,1,1,1,NaN
217,148,1,1,1,1,1,1,NaN
218,158,2,1,1,2,1,1,NaN
219,133,1,2,1,1,1,1,NaN
220,181,2,2,1,2,1,1,NaN
221,299,2,2,2,2,1,1,NaN
222,277,1,2,1,1,1,1,NaN
223,252,2,1,1,2,2,1,0.683646076509831
224,281,1,2,1,1,1,1,NaN
225,271,2,1,1,2,1,1,NaN
226,291,2,2,1,2,1,1,NaN
227,263,2,1,2,2,2,1,0.585335881753053
228,317,1,2,2,1,1,1,NaN
229,297,2,1,2,2,1,1,NaN
230,298,1,2,1,1,1,1,NaN
231,279,1,1,1,1,1,1,NaN
232,238,2,2,2,2,1,1,NaN
233,329,1,2,1,1,1,1,NaN
234,236,2,1,2,2,1,1,NaN
235,234,2,2,1,2,1,1,NaN
236,268,1,2,1,1,1,1,NaN
237,284,2,1,2,2,1,1,NaN
238,309,2,2,1,2,1,1,NaN
239,295,2,2,2,2,1,1,NaN
240,321,1,2,2,1,1,1,NaN
241,320,2,1,1,2,1,1,NaN
242,230,2,2,1,2,1,1,NaN
243,312,1,2,2,1,1,1,NaN
244,233,1,2,2,1,1,1,NaN
245,242,2,2,2,2,1,1,NaN
246,283,1,1,2,1,1,1,NaN
247,322,2,2,2,2,1,1,NaN
248,292,1,1,2,1,1,1,NaN
249,241,1,2,1,1,1,1,NaN
250,330,2,2,1,2,1,1,NaN
251,225,1,1,2,1,2,1,0.6350991111849
252,244,2,1,2,2,1,1,NaN
253,315,1,1,1,1,1,1,NaN
254,270,1,1,2,1,1,1,NaN
255,286,2,2,1,2,1,1,NaN
256,314,2,2,1,2,1,1,NaN
257,223,1,2,2,1,1,1,NaN
258,300,1,1,2,1,1,1,NaN
259,325,1,2,1,1,1,1,NaN
260,328,2,1,2,2,1,1,NaN
261,256,2,2,1,2,1,1,NaN
262,227,2,1,2,2,1,1,NaN
263,318,2,2,1,2,1,1,NaN
264,307,2,1,1,2,1,1,NaN
265,239,1,1,2,1,1,1,NaN
266,265,2,2,2,2,1,1,NaN
267,247,1,1,2,1,1,1,NaN
268,250,1,2,1,1,1,1,NaN
269,231,1,1,2,1,1,1,NaN
270,288,1,1,1,1,1,1,NaN
271,267,2,1,2,2,1,1,NaN
272,278,2,2,1,2,1,1,NaN
273,248,2,1,2,2,1,1,NaN
274,251,2,2,1,2,1,1,NaN
275,293,2,1,2,2,1,1,NaN
276,316,2,1,2,2,1,1,NaN
277,296,1,1,2,1,1,1,NaN
278,254,2,1,2,2,1,1,NaN
279,240,2,1,1,2,1,1,NaN
280,258,2,1,2,2,1,1,NaN
281,229,1,1,1,1,2,1,0.767474358512118
282,224,2,2,1,2,1,1,NaN
283,222,2,1,1,2,1,1,NaN
284,280,2,1,1,2,1,1,NaN
285,261,1,1,1,1,1,1,NaN
286,326,2,2,1,2,1,1,NaN
287,319,1,1,1,1,1,1,NaN
288,313,2,2,2,2,2,1,0.577830806423663
289,262,2,1,1,2,1,1,NaN
290,226,1,1,2,1,1,1,NaN
291,311,2,1,1,2,1,1,NaN
292,221,1,1,1,1,1,1,NaN
293,237,1,2,2,1,1,1,NaN
294,302,1,2,2,1,1,1,NaN
295,259,1,2,2,1,1,1,NaN
296,266,1,1,1,1,1,1,NaN
297,249,1,2,2,1,2,1,0.590400819894057
298,260,2,2,1,2,1,1,NaN
299,275,1,1,1,1,1,1,NaN
300,272,1,2,2,1,1,1,NaN
301,304,2,2,2,2,2,1,0.518897308504165
302,276,2,1,1,2,1,1,NaN
303,232,2,1,2,2,1,1,NaN
304,324,2,1,1,2,1,1,NaN
305,308,1,2,2,1,1,1,NaN
306,235,1,1,2,1,1,1,NaN
307,269,2,2,2,2,1,1,NaN
308,323,1,1,2,1,1,1,NaN
309,327,1,1,1,1,1,1,NaN
310,264,1,2,2,1,1,1,NaN
311,306,1,1,1,1,1,1,NaN
312,310,1,1,2,1,1,1,NaN
313,294,1,2,1,1,1,1,NaN
314,305,1,2,2,1,2,1,0.522510689866976
315,253,1,1,2,1,1,1,NaN
316,285,1,2,2,1,1,1,NaN
317,289,2,1,2,2,1,1,NaN
318,257,1,1,1,1,1,1,NaN
319,290,1,2,2,1,1,1,NaN
320,245,1,2,2,1,1,1,NaN
321,228,1,2,2,1,1,1,NaN
322,274,2,2,2,2,1,1,NaN
323,303,2,2,2,2,1,1,NaN
324,246,2,2,2,2,1,1,NaN
325,243,1,1,1,1,1,1,NaN
326,255,1,2,2,1,1,1,NaN
327,282,2,2,2,2,1,1,NaN
328,301,2,1,1,2,1,1,NaN
329,287,2,1,1,2,2,1,0.692389950194411
330,273,1,1,1,1,2,1,0.504110159112315
331,430,2,1,1,2,1,1,NaN
332,384,2,2,1,2,1,1,NaN
333,393,1,2,1,1,1,1,NaN
334,373,1,1,1,1,1,1,NaN
335,389,2,2,1,2,1,1,NaN
336,410,1,2,2,1,1,1,NaN
337,348,2,1,1,2,1,1,NaN
338,396,2,1,1,2,1,1,NaN
339,423,1,1,2,1,1,1,NaN
340,401,2,1,2,2,1,1,NaN
341,420,2,1,1,2,1,1,NaN
342,405,2,1,1,2,1,1,NaN
343,376,2,2,1,2,1,1,NaN
344,352,2,1,2,2,1,1,NaN
345,342,2,2,1,2,1,1,NaN
346,331,1,1,2,1,1,1,NaN
347,362,2,2,1,2,1,1,NaN
348,422,2,2,2,2,1,1,NaN
349,335,1,1,1,1,1,1,NaN
350,435,1,2,2,1,1,1,NaN
351,421,1,2,1,1,1,1,NaN
352,407,2,2,2,2,1,1,NaN
353,409,2,1,1,2,1,1,NaN
354,416,1,1,2,1,2,1,0.627009316009207
355,358,2,2,2,2,1,1,NaN
356,341,1,2,1,1,1,1,NaN
357,419,1,1,1,1,1,1,NaN
358,334,2,2,2,2,1,1,NaN
359,408,1,1,2,1,1,1,NaN
360,382,2,1,1,2,1,1,NaN
361,350,2,2,1,2,1,1,NaN
362,398,1,2,1,1,1,1,NaN
363,344,2,1,1,2,1,1,NaN
364,434,2,1,2,2,1,1,NaN
365,357,1,2,1,1,1,1,NaN
366,379,1,2,1,1,1,1,NaN
367,354,2,2,2,2,1,1,NaN
368,413,1,2,1,1,2,1,0.76552558500407
369,374,2,1,2,2,1,1,NaN
370,438,2,1,2,2,1,1,NaN
371,387,1,2,1,1,1,1,NaN
372,360,2,1,2,2,1,1,NaN
373,436,2,2,1,2,1,1,NaN
374,383,1,2,1,1,1,1,NaN
375,425,2,1,2,2,1,1,NaN
376,426,1,2,2,1,1,1,NaN
377,370,2,1,2,2,1,1,NaN
378,395,1,1,1,1,1,1,NaN
379,397,1,2,1,1,2,1,0.740376485833622
380,431,1,2,1,1,1,1,NaN
381,366,1,2,1,1,1,0,1.14820511785001
382,351,1,1,2,1,1,1,NaN
383,406,1,2,2,1,1,1,NaN
384,402,1,2,2,1,1,1,NaN
385,368,2,1,2,2,2,1,0.523570092194859
386,415,2,1,2,2,1,1,NaN
387,440,2,2,1,2,1,1,NaN
388,356,2,1,2,2,1,1,NaN
389,359,1,1,2,1,1,1,NaN
390,414,1,1,1,1,1,1,NaN
391,361,1,2,2,1,1,1,NaN
392,394,2,2,2,2,1,1,NaN
393,353,1,2,2,1,1,1,NaN
394,378,2,1,1,2,1,1,NaN
395,349,1,2,2,1,1,1,NaN
396,437,1,1,1,1,1,1,NaN
397,403,2,2,2,2,1,1,NaN
398,412,2,2,1,2,2,1,0.598087632472016
399,365,2,1,2,2,1,1,NaN
400,363,1,1,2,1,2,1,0.520221854065312
401,381,1,1,1,1,1,1,NaN
402,392,1,2,1,1,2,1,0.423883845021919
403,385,1,1,1,1,1,1,NaN
404,372,2,2,2,2,1,1,NaN
405,369,1,1,2,1,1,1,NaN
406,371,1,2,2,1,1,1,NaN
407,377,1,1,1,1,1,1,NaN
408,347,1,1,2,1,1,1,NaN
409,400,1,1,2,1,1,1,NaN
410,417,1,2,1,1,1,1,NaN
411,418,2,2,1,2,1,1,NaN
412,343,1,1,1,1,1,1,NaN
413,346,2,2,2,2,1,1,NaN
414,355,1,1,1,1,1,1,NaN
415,375,1,2,1,1,1,1,NaN
416,364,1,1,2,1,1,1,NaN
417,433,1,1,2,1,1,1,NaN
418,336,2,1,1,2,1,1,NaN
419,391,2,1,1,2,1,1,NaN
420,427,2,1,1,2,2,1,0.667132569569731
421,337,1,2,2,1,1,1,NaN
422,428,2,2,2,2,1,1,NaN
423,338,2,2,1,2,1,1,NaN
424,340,2,1,2,2,1,1,NaN
425,386,2,1,1,2,1,1,NaN
426,390,1,1,1,1,1,1,NaN
427,388,2,2,1,2,2,1,0.591736193602628
428,333,1,2,1,1,1,1,NaN
429,411,2,2,1,2,1,1,NaN
430,439,1,2,2,1,1,1,NaN
431,404,1,1,1,1,1,1,NaN
432,399,2,2,2,2,1,1,NaN
433,339,1,1,2,1,1,1,NaN
434,332,2,1,1,2,1,1,NaN
435,429,1,1,1,1,1,1,NaN
436,345,1,2,1,1,1,1,NaN
437,380,2,2,2,2,1,1,NaN
438,367,2,2,2,2,1,1,NaN
439,424,2,2,2,2,2,1,0.713163600692496
440,432,2,2,2,2,1,1,NaN
